Estado,Data_Ini_Mov,Hora_Ini_Mov,Data_Fim_Mov,Hora_Fim_Mov,Tempo,Dist_Perc_(m),Vel_Máx,Ponto_Inicial,Ponto_Final,Motorista,Placa
Parado Ligado,06/06/2020,20:07:06,06/06/2020,20:09:06,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,20:09:06,06/06/2020,20:12:06,3min,317,10 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,20:12:06,06/06/2020,20:13:06,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,20:13:06,06/06/2020,20:14:06,1min,150,6 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,20:14:06,06/06/2020,20:15:06,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,20:15:06,06/06/2020,20:17:06,2min,291,20 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,20:17:06,06/06/2020,20:18:06,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,20:18:06,06/06/2020,20:19:06,1min,202,10 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,20:19:06,06/06/2020,20:21:06,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,20:21:06,06/06/2020,20:23:06,2min,272,21 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,20:23:06,06/06/2020,20:24:06,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,20:24:06,06/06/2020,20:25:06,1min,18,11 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,20:25:06,06/06/2020,20:26:06,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,20:26:06,06/06/2020,20:28:06,2min,170,12 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,20:28:06,06/06/2020,20:29:06,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,20:29:06,06/06/2020,20:37:06,8min,1165,30 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,20:37:06,06/06/2020,20:38:06,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,20:38:06,06/06/2020,20:39:06,1min,112,10 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,20:39:06,06/06/2020,20:41:06,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,20:41:06,06/06/2020,20:44:06,3min,589,30 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,20:44:06,06/06/2020,20:46:06,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,20:46:06,06/06/2020,20:51:07,5m-1s,900,37 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,20:51:07,06/06/2020,20:52:07,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,20:52:07,06/06/2020,20:53:07,1min,153,30 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,20:53:07,06/06/2020,20:54:07,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,20:54:07,06/06/2020,20:58:07,4min,803,14 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,20:58:07,06/06/2020,20:59:07,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,20:59:07,06/06/2020,21:06:17,7m-10s,2209,43 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Desligado,06/06/2020,21:06:17,06/06/2020,22:22:59,1h-16m-42s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,22:22:59,06/06/2020,22:24:54,1m-55s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,22:24:54,06/06/2020,22:25:54,1min,152,24 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,22:25:54,06/06/2020,22:26:54,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,22:26:54,06/06/2020,22:37:20,10m-26s,8474,81 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,22:37:20,06/06/2020,22:38:20,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,22:38:20,06/06/2020,22:42:21,4m-1s,1413,42 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,22:42:21,06/06/2020,22:50:21,8min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,22:50:21,06/06/2020,22:51:21,1min,25,13 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,22:51:21,06/06/2020,22:53:21,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,22:53:21,06/06/2020,23:07:53,14m-32s,9564,71 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,23:07:53,06/06/2020,23:13:47,5m-54s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Desligado,06/06/2020,23:13:47,06/06/2020,23:46:17,32m-30s,0,0,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
