Estado,Data_Ini_Mov,Hora_Ini_Mov,Data_Fim_Mov,Hora_Fim_Mov,Tempo,Dist_Perc_(m),Vel_Máx,Ponto_Inicial,Ponto_Final,Motorista,Placa
Andando,06/06/2020,09:25:39,06/06/2020,09:26:39,1min,222,10 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,09:26:39,06/06/2020,09:28:39,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,09:28:39,06/06/2020,09:30:39,2min,273,15 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,09:30:39,06/06/2020,09:35:39,5min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,09:35:39,06/06/2020,09:36:39,1min,128,11 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,09:36:39,06/06/2020,09:38:40,2m-1s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,09:38:40,06/06/2020,09:39:40,1min,102,10 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,09:39:40,06/06/2020,09:44:40,5min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,09:44:40,06/06/2020,09:47:40,3min,417,15 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,09:47:40,06/06/2020,09:49:40,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,09:49:40,06/06/2020,09:51:40,2min,185,14 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,09:51:40,06/06/2020,09:53:40,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,09:53:40,06/06/2020,09:54:40,1min,103,6 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,09:54:40,06/06/2020,09:56:40,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,09:56:40,06/06/2020,10:00:40,4min,438,14 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,10:00:40,06/06/2020,10:01:40,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,10:01:40,06/06/2020,10:02:40,1min,73,10 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,10:02:40,06/06/2020,10:04:40,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,10:04:40,06/06/2020,10:05:40,1min,101,9 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,10:05:40,06/06/2020,10:07:41,2m-1s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,10:07:41,06/06/2020,10:12:41,5min,583,14 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,10:12:41,06/06/2020,10:13:41,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,10:13:41,06/06/2020,10:14:41,1min,153,12 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,10:14:41,06/06/2020,10:17:41,3min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,10:17:41,06/06/2020,10:19:41,2min,250,17 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,10:19:41,06/06/2020,10:20:41,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,10:20:41,06/06/2020,10:21:41,1min,66,8 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,10:21:41,06/06/2020,10:25:41,4min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,10:25:41,06/06/2020,10:27:41,2min,223,11 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,10:27:41,06/06/2020,10:28:41,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,10:28:41,06/06/2020,10:29:41,1min,160,10 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,10:29:41,06/06/2020,10:34:42,5m-1s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,10:34:42,06/06/2020,10:35:42,1min,33,6 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,10:35:42,06/06/2020,10:43:42,8min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,10:43:42,06/06/2020,10:44:42,1min,125,31 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,10:44:42,06/06/2020,10:47:42,3min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,10:47:42,06/06/2020,10:51:42,4min,251,10 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,10:51:42,06/06/2020,10:53:42,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,10:53:42,06/06/2020,10:56:42,3min,541,29 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,10:56:42,06/06/2020,10:57:42,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,10:57:42,06/06/2020,10:58:42,1min,60,6 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,10:58:42,06/06/2020,11:04:42,6min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,11:04:42,06/06/2020,11:09:42,5min,506,16 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,11:09:42,06/06/2020,11:13:43,4m-1s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,11:13:43,06/06/2020,11:14:43,1min,59,12 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,11:14:43,06/06/2020,11:17:43,3min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,11:17:43,06/06/2020,11:20:43,3min,227,10 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,11:20:43,06/06/2020,11:27:43,7min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
